commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight
Ethylene,flow,SE_ESC_transforms,ethylene_SE,SE_ESC,SE_ESC_ethylene_production_edge,SteamCracker,flow,504,2818358.0225701355,
Ethylene,flow,SE_Ethanol_Dehydration_H2fuel_transforms,ethylene_SE,SE_Ethanol_Dehydration_H2fuel,SE_Ethanol_Dehydration_H2fuel_ethylene_production_edge,EthanolDehydration,flow,504,-2.2259031633720854e-11,
Ethylene,flow,SE_Ethanol_Dehydration_NGfuel_transforms,ethylene_SE,SE_Ethanol_Dehydration_NGfuel,SE_Ethanol_Dehydration_NGfuel_ethylene_production_edge,EthanolDehydration,flow,504,-1.6188386642706075e-11,
Ethylene,flow,SE_TSC_CCS_90_H2prod_transforms,ethylene_SE,SE_TSC_CCS_90_H2prod,SE_TSC_CCS_90_H2prod_ethylene_production_edge,SteamCracker,flow,504,0.0,
Ethylene,flow,SE_TSC_CCS_90_transforms,ethylene_SE,SE_TSC_CCS_90,SE_TSC_CCS_90_ethylene_production_edge,SteamCracker,flow,504,-3.035322495507389e-11,
Ethylene,flow,SE_TSC_Non_CCS_H2fuel_transforms,ethylene_SE,SE_TSC_Non_CCS_H2fuel,SE_TSC_Non_CCS_H2fuel_ethylene_production_edge,SteamCracker,flow,504,-6.0706449910147786e-12,
Ethylene,flow,SE_TSC_Non_CCS_H2prod_transforms,ethylene_SE,SE_TSC_Non_CCS_H2prod,SE_TSC_Non_CCS_H2prod_ethylene_production_edge,SteamCracker,flow,504,0.0,
Ethylene,flow,SE_TSC_Non_CCS_transforms,ethylene_SE,SE_TSC_Non_CCS,SE_TSC_Non_CCS_ethylene_production_edge,SteamCracker,flow,504,0.0,
Ethylene,flow,Synthetic_Ethylene_CCS_90_transforms,ethylene_SE,Synthetic_Ethylene_CCS_90,Synthetic_Ethylene_CCS_90_ethylene_production_edge,SyntheticEthylene,flow,504,0.0,
Ethylene,flow,Synthetic_Ethylene_Non_CCS_transforms,ethylene_SE,Synthetic_Ethylene_Non_CCS,Synthetic_Ethylene_Non_CCS_ethylene_production_edge,SyntheticEthylene,flow,504,2895927.509429864,
Ethylene,flow,ethylene_SE,SE_Ethylene_End_Use_transforms,SE_Ethylene_End_Use,SE_Ethylene_End_Use_fuel_edge,FuelsEndUse{Ethylene},flow,504,5714285.532,
