commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight,zone,weighted_value_flow
CO2,flow,SE_ATR_wCCS_94pct_transforms,co2_sink,SE_ATR_wCCS_94pct,SE_ATR_wCCS_94pct_co2_edge,ThermalHydrogenCCS{NaturalGas},flow,504,0.0,,all,0.0
CO2,flow,SE_BECCS_Electricity_Herb_transforms,co2_sink,SE_BECCS_Electricity_Herb,SE_BECCS_Electricity_Herb_co2_emission_edge,BECCSElectricity,flow,504,0.0,,all,0.0
CO2,flow,SE_BECCS_Electricity_Wood_transforms,co2_sink,SE_BECCS_Electricity_Wood,SE_BECCS_Electricity_Wood_co2_emission_edge,BECCSElectricity,flow,504,0.0,,all,0.0
CO2,flow,SE_BECCS_FT_Herb_transforms,co2_sink,SE_BECCS_FT_Herb,SE_BECCS_FT_Herb_co2_emission_edge,BECCSLiquidFuels,flow,504,0.0,,all,0.0
CO2,flow,SE_BECCS_FT_Wood_transforms,co2_sink,SE_BECCS_FT_Wood,SE_BECCS_FT_Wood_co2_emission_edge,BECCSLiquidFuels,flow,504,0.0,,all,0.0
CO2,flow,SE_BECCS_H2_Herb_transforms,co2_sink,SE_BECCS_H2_Herb,SE_BECCS_H2_Herb_co2_emission_edge,BECCSHydrogen,flow,504,0.0,,all,0.0
CO2,flow,SE_BECCS_H2_Wood_transforms,co2_sink,SE_BECCS_H2_Wood,SE_BECCS_H2_Wood_co2_emission_edge,BECCSHydrogen,flow,504,0.0,,all,0.0
CO2,flow,SE_BECCS_NaturalGas_Herb_transforms,co2_sink,SE_BECCS_NaturalGas_Herb,SE_BECCS_NaturalGas_Herb_co2_emission_edge,BECCSNaturalGas,flow,504,0.0,,all,0.0
CO2,flow,SE_BECCS_NaturalGas_Wood_transforms,co2_sink,SE_BECCS_NaturalGas_Wood,SE_BECCS_NaturalGas_Wood_co2_emission_edge,BECCSNaturalGas,flow,504,0.0,,all,0.0
CO2,flow,SE_Bio_FT_Herb_transforms,co2_sink,SE_Bio_FT_Herb,SE_Bio_FT_Herb_co2_emission_edge,BECCSLiquidFuels,flow,504,0.0,,all,0.0
CO2,flow,SE_Bio_FT_Wood_transforms,co2_sink,SE_Bio_FT_Wood,SE_Bio_FT_Wood_co2_emission_edge,BECCSLiquidFuels,flow,504,0.0,,all,0.0
CO2,flow,SE_Bio_Gasoline_Herb_transforms,co2_sink,SE_Bio_Gasoline_Herb,SE_Bio_Gasoline_Herb_co2_emission_edge,BECCSGasoline,flow,504,85754288.232096,,all,85754288.232096
CO2,flow,SE_Bio_Gasoline_Wood_transforms,co2_sink,SE_Bio_Gasoline_Wood,SE_Bio_Gasoline_Wood_co2_emission_edge,BECCSGasoline,flow,504,120189452.11540799,,all,120189452.11540799
CO2,flow,SE_Bio_NaturalGas_Herb_transforms,co2_sink,SE_Bio_NaturalGas_Herb,SE_Bio_NaturalGas_Herb_co2_emission_edge,BECCSNaturalGas,flow,504,0.0,,all,0.0
CO2,flow,SE_Bio_NaturalGas_Wood_transforms,co2_sink,SE_Bio_NaturalGas_Wood,SE_Bio_NaturalGas_Wood_co2_emission_edge,BECCSNaturalGas,flow,504,0.0,,all,0.0
CO2,flow,SE_Biochemical_CCS_20_transforms,co2_sink,SE_Biochemical_CCS_20,SE_Biochemical_CCS_20_co2_emission_edge,BioEthanol,flow,504,0.0,,all,0.0
CO2,flow,SE_Biochemical_CCS_86_transforms,co2_sink,SE_Biochemical_CCS_86,SE_Biochemical_CCS_86_co2_emission_edge,BioEthanol,flow,504,0.0,,all,0.0
CO2,flow,SE_Biochemical_Non_CCS_transforms,co2_sink,SE_Biochemical_Non_CCS,SE_Biochemical_Non_CCS_co2_emission_edge,BioEthanol,flow,504,0.0,,all,0.0
CO2,flow,SE_CCGT-H2_transforms,co2_sink,SE_CCGT-H2,SE_CCGT-H2_co2_edge,ThermalPower{Hydrogen},flow,504,0.0,,all,0.0
CO2,flow,SE_Diesel_Fossil_Upstream_transforms,co2_sink,SE_Diesel_Fossil_Upstream,SE_Diesel_Fossil_Upstream_co2_edge,FossilFuelsUpstream{LiquidFuels},flow,504,0.0,,all,0.0
CO2,flow,SE_Diesel_Use_transforms,co2_sink,SE_Diesel_Use,SE_Diesel_Use_co2_edge,FuelsEndUse{UserAdditions.Diesel},flow,504,45186912.181042895,,all,45186912.181042895
CO2,flow,SE_ESC_transforms,co2_sink,SE_ESC,SE_ESC_co2_emission_edge,SteamCracker,flow,504,0.0,,all,0.0
CO2,flow,SE_Ethane_Fossil_Upstream_transforms,co2_sink,SE_Ethane_Fossil_Upstream,SE_Ethane_Fossil_Upstream_co2_edge,FossilFuelsUpstream{Ethane},flow,504,0.0,,all,0.0
CO2,flow,SE_Ethanol_Dehydration_H2fuel_transforms,co2_sink,SE_Ethanol_Dehydration_H2fuel,SE_Ethanol_Dehydration_H2fuel_co2_emission_edge,EthanolDehydration,flow,504,0.0,,all,0.0
CO2,flow,SE_Ethanol_Dehydration_NGfuel_transforms,co2_sink,SE_Ethanol_Dehydration_NGfuel,SE_Ethanol_Dehydration_NGfuel_co2_emission_edge,EthanolDehydration,flow,504,0.0,,all,0.0
CO2,flow,SE_Ethylene_End_Use_transforms,co2_sink,SE_Ethylene_End_Use,SE_Ethylene_End_Use_co2_edge,FuelsEndUse{Ethylene},flow,504,17942856.57048,,all,17942856.57048
CO2,flow,SE_Gasoline_Fossil_Upstream_transforms,co2_sink,SE_Gasoline_Fossil_Upstream,SE_Gasoline_Fossil_Upstream_co2_edge,FossilFuelsUpstream{LiquidFuels},flow,504,0.0,,all,0.0
CO2,flow,SE_Gasoline_Use_transforms,co2_sink,SE_Gasoline_Use,SE_Gasoline_Use_co2_edge,FuelsEndUse{UserAdditions.Gasoline},flow,504,91888430.76513305,,all,91888430.76513305
CO2,flow,SE_JetFuel_Fossil_Upstream_transforms,co2_sink,SE_JetFuel_Fossil_Upstream,SE_JetFuel_Fossil_Upstream_co2_edge,FossilFuelsUpstream{LiquidFuels},flow,504,0.0,,all,0.0
CO2,flow,SE_JetFuel_Use_transforms,co2_sink,SE_JetFuel_Use,SE_JetFuel_Use_co2_edge,FuelsEndUse{UserAdditions.JetFuel},flow,504,37499264.89539184,,all,37499264.89539184
CO2,flow,SE_Large_SMR_Non_CCS_transforms,co2_sink,SE_Large_SMR_Non_CCS,SE_Large_SMR_Non_CCS_co2_edge,ThermalHydrogen{NaturalGas},flow,504,7604131.266661439,,all,7604131.266661439
CO2,flow,SE_Large_SMR_wCCS_96pct_transforms,co2_sink,SE_Large_SMR_wCCS_96pct,SE_Large_SMR_wCCS_96pct_co2_edge,ThermalHydrogenCCS{NaturalGas},flow,504,0.0,,all,0.0
CO2,flow,SE_NG_End_Use_transforms,co2_sink,SE_NG_End_Use,SE_NG_End_Use_co2_edge,FuelsEndUse{NaturalGas},flow,504,37652963.054562815,,all,37652963.054562815
CO2,flow,SE_NG_Fossil_Upstream_transforms,co2_sink,SE_NG_Fossil_Upstream,SE_NG_Fossil_Upstream_co2_edge,FossilFuelsUpstream{NaturalGas},flow,504,0.0,,all,0.0
CO2,flow,SE_OCGT-H2_transforms,co2_sink,SE_OCGT-H2,SE_OCGT-H2_co2_edge,ThermalPower{Hydrogen},flow,504,0.0,,all,0.0
CO2,flow,SE_Solvent_DAC_transforms,co2_sink,SE_Solvent_DAC,SE_Solvent_DAC_co2_emission_edge,NaturalGasDAC,flow,504,0.0,,all,0.0
CO2,flow,SE_Synthetic_FT_transforms,co2_sink,SE_Synthetic_FT,SE_Synthetic_FT_co2_emission_edge,SyntheticLiquidFuels,flow,504,0.0,,all,0.0
CO2,flow,SE_Synthetic_NaturalGas_transforms,co2_sink,SE_Synthetic_NaturalGas,SE_Synthetic_NaturalGas_co2_emission_edge,SyntheticNaturalGas,flow,504,0.0,,all,0.0
CO2,flow,SE_TSC_CCS_90_H2prod_transforms,co2_sink,SE_TSC_CCS_90_H2prod,SE_TSC_CCS_90_H2prod_co2_emission_edge,SteamCracker,flow,504,0.0,,all,0.0
CO2,flow,SE_TSC_CCS_90_transforms,co2_sink,SE_TSC_CCS_90,SE_TSC_CCS_90_co2_emission_edge,SteamCracker,flow,504,0.0,,all,0.0
CO2,flow,SE_TSC_Non_CCS_H2fuel_transforms,co2_sink,SE_TSC_Non_CCS_H2fuel,SE_TSC_Non_CCS_H2fuel_co2_emission_edge,SteamCracker,flow,504,0.0,,all,0.0
CO2,flow,SE_TSC_Non_CCS_H2prod_transforms,co2_sink,SE_TSC_Non_CCS_H2prod,SE_TSC_Non_CCS_H2prod_co2_emission_edge,SteamCracker,flow,504,8260837.801736422,,all,8260837.801736422
CO2,flow,SE_TSC_Non_CCS_transforms,co2_sink,SE_TSC_Non_CCS,SE_TSC_Non_CCS_co2_emission_edge,SteamCracker,flow,504,0.0,,all,0.0
CO2,flow,SE_natural_gas_fired_combined_cycle_1_transforms,co2_sink,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_1_co2_edge,ThermalPower{NaturalGas},flow,504,13828052.257723315,,all,13828052.257723315
CO2,flow,SE_natural_gas_fired_combined_cycle_2_transforms,co2_sink,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_2_co2_edge,ThermalPower{NaturalGas},flow,504,0.0,,all,0.0
CO2,flow,SE_natural_gas_fired_combined_cycle_3_transforms,co2_sink,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_3_co2_edge,ThermalPower{NaturalGas},flow,504,33136591.987281088,,all,33136591.987281088
CO2,flow,SE_natural_gas_fired_combined_cycle_4_transforms,co2_sink,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combined_cycle_4_co2_edge,ThermalPower{NaturalGas},flow,504,0.0,,all,0.0
CO2,flow,SE_natural_gas_fired_combustion_turbine_1_transforms,co2_sink,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_1_co2_edge,ThermalPower{NaturalGas},flow,504,36380.55684876253,,all,36380.55684876253
CO2,flow,SE_natural_gas_fired_combustion_turbine_2_transforms,co2_sink,SE_natural_gas_fired_combustion_turbine_2,SE_natural_gas_fired_combustion_turbine_2_co2_edge,ThermalPower{NaturalGas},flow,504,0.0,,all,0.0
CO2,flow,SE_naturalgas_ccavgcf_moderate_0_transforms,co2_sink,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ccavgcf_moderate_0_co2_edge,ThermalPower{NaturalGas},flow,504,0.0,,all,0.0
CO2,flow,SE_naturalgas_ccccsavgcf_conservative_0_transforms,co2_sink,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccccsavgcf_conservative_0_co2_edge,ThermalPowerCCS{NaturalGas},flow,504,0.0,,all,0.0
CO2,flow,SE_naturalgas_ctavgcf_moderate_0_transforms,co2_sink,SE_naturalgas_ctavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0_co2_edge,ThermalPower{NaturalGas},flow,504,0.0,,all,0.0
CO2,flow,SE_nuclear_1_transforms,co2_sink,SE_nuclear_1,SE_nuclear_1_co2_edge,ThermalPower{Uranium},flow,504,0.0,,all,0.0
CO2,flow,SE_nuclear_2_transforms,co2_sink,SE_nuclear_2,SE_nuclear_2_co2_edge,ThermalPower{Uranium},flow,504,0.0,,all,0.0
CO2,flow,SE_nuclear_mid_0_transforms,co2_sink,SE_nuclear_mid_0,SE_nuclear_mid_0_co2_edge,ThermalPower{Uranium},flow,504,0.0,,all,0.0
CO2,flow,Synthetic_Ethylene_CCS_90_transforms,co2_sink,Synthetic_Ethylene_CCS_90,Synthetic_Ethylene_CCS_90_co2_emission_edge,SyntheticEthylene,flow,504,0.0,,all,0.0
CO2,flow,Synthetic_Ethylene_Non_CCS_transforms,co2_sink,Synthetic_Ethylene_Non_CCS,Synthetic_Ethylene_Non_CCS_co2_emission_edge,SyntheticEthylene,flow,504,0.0,,all,0.0
CO2,flow,co2_sink,SE_BECCS_Electricity_Herb_transforms,SE_BECCS_Electricity_Herb,SE_BECCS_Electricity_Herb_co2_edge,BECCSElectricity,flow,504,0.0,,all,-0.0
CO2,flow,co2_sink,SE_BECCS_Electricity_Wood_transforms,SE_BECCS_Electricity_Wood,SE_BECCS_Electricity_Wood_co2_edge,BECCSElectricity,flow,504,0.0,,all,-0.0
CO2,flow,co2_sink,SE_BECCS_FT_Herb_transforms,SE_BECCS_FT_Herb,SE_BECCS_FT_Herb_co2_edge,BECCSLiquidFuels,flow,504,0.0,,all,-0.0
CO2,flow,co2_sink,SE_BECCS_FT_Wood_transforms,SE_BECCS_FT_Wood,SE_BECCS_FT_Wood_co2_edge,BECCSLiquidFuels,flow,504,0.0,,all,-0.0
CO2,flow,co2_sink,SE_BECCS_H2_Herb_transforms,SE_BECCS_H2_Herb,SE_BECCS_H2_Herb_co2_edge,BECCSHydrogen,flow,504,0.0,,all,-0.0
CO2,flow,co2_sink,SE_BECCS_H2_Wood_transforms,SE_BECCS_H2_Wood,SE_BECCS_H2_Wood_co2_edge,BECCSHydrogen,flow,504,0.0,,all,-0.0
CO2,flow,co2_sink,SE_BECCS_NaturalGas_Herb_transforms,SE_BECCS_NaturalGas_Herb,SE_BECCS_NaturalGas_Herb_co2_edge,BECCSNaturalGas,flow,504,0.0,,all,-0.0
CO2,flow,co2_sink,SE_BECCS_NaturalGas_Wood_transforms,SE_BECCS_NaturalGas_Wood,SE_BECCS_NaturalGas_Wood_co2_edge,BECCSNaturalGas,flow,504,0.0,,all,-0.0
CO2,flow,co2_sink,SE_Bio_FT_Herb_transforms,SE_Bio_FT_Herb,SE_Bio_FT_Herb_co2_edge,BECCSLiquidFuels,flow,504,0.0,,all,-0.0
CO2,flow,co2_sink,SE_Bio_FT_Wood_transforms,SE_Bio_FT_Wood,SE_Bio_FT_Wood_co2_edge,BECCSLiquidFuels,flow,504,0.0,,all,-0.0
CO2,flow,co2_sink,SE_Bio_Gasoline_Herb_transforms,SE_Bio_Gasoline_Herb,SE_Bio_Gasoline_Herb_co2_edge,BECCSGasoline,flow,504,119772650.8704,,all,-119772650.8704
CO2,flow,co2_sink,SE_Bio_Gasoline_Wood_transforms,SE_Bio_Gasoline_Wood,SE_Bio_Gasoline_Wood_co2_edge,BECCSGasoline,flow,504,167868098.2992,,all,-167868098.2992
CO2,flow,co2_sink,SE_Bio_NaturalGas_Herb_transforms,SE_Bio_NaturalGas_Herb,SE_Bio_NaturalGas_Herb_co2_edge,BECCSNaturalGas,flow,504,0.0,,all,-0.0
CO2,flow,co2_sink,SE_Bio_NaturalGas_Wood_transforms,SE_Bio_NaturalGas_Wood,SE_Bio_NaturalGas_Wood_co2_edge,BECCSNaturalGas,flow,504,0.0,,all,-0.0
CO2,flow,co2_sink,SE_Biochemical_CCS_20_transforms,SE_Biochemical_CCS_20,SE_Biochemical_CCS_20_co2_content_edge,BioEthanol,flow,504,0.0,,all,-0.0
CO2,flow,co2_sink,SE_Biochemical_CCS_86_transforms,SE_Biochemical_CCS_86,SE_Biochemical_CCS_86_co2_content_edge,BioEthanol,flow,504,0.0,,all,-0.0
CO2,flow,co2_sink,SE_Biochemical_Non_CCS_transforms,SE_Biochemical_Non_CCS,SE_Biochemical_Non_CCS_co2_content_edge,BioEthanol,flow,504,0.0,,all,-0.0
CO2,flow,co2_sink,SE_Solvent_DAC_transforms,SE_Solvent_DAC,SE_Solvent_DAC_co2_edge,NaturalGasDAC,flow,504,0.0,,all,-0.0
CO2,flow,co2_sink,SE_Sorbent_DAC_transforms,SE_Sorbent_DAC,SE_Sorbent_DAC_co2_edge,ElectricDAC,flow,504,0.0,,all,-0.0
