commodity,commodity_subtype,zone,resource_id,component_id,type,variable,value
Biomass_Herb,capacity,bioherb_SE,SE_BECCS_Electricity_Herb,SE_BECCS_Electricity_Herb_biomass_edge,BECCSElectricity,capacity,0.0
Biomass_Wood,capacity,biowood_SE,SE_BECCS_Electricity_Wood,SE_BECCS_Electricity_Wood_biomass_edge,BECCSElectricity,capacity,0.0
Biomass_Herb,capacity,bioherb_SE,SE_Bio_Gasoline_Herb,SE_Bio_Gasoline_Herb_biomass_edge,BECCSGasoline,capacity,-1.77694623620001e-11
Biomass_Wood,capacity,biowood_SE,SE_Bio_Gasoline_Wood,SE_Bio_Gasoline_Wood_biomass_edge,BECCSGasoline,capacity,5408.019788338891
Biomass_Herb,capacity,bioherb_SE,SE_BECCS_H2_Herb,SE_BECCS_H2_Herb_biomass_edge,BECCSHydrogen,capacity,5409.0144624118
Biomass_Wood,capacity,biowood_SE,SE_BECCS_H2_Wood,SE_BECCS_H2_Wood_biomass_edge,BECCSHydrogen,capacity,-9.094947017729274e-12
Biomass_Herb,capacity,bioherb_SE,SE_Bio_FT_Herb,SE_Bio_FT_Herb_biomass_edge,BECCSLiquidFuels,capacity,0.0
Biomass_Wood,capacity,biowood_SE,SE_Bio_FT_Wood,SE_Bio_FT_Wood_biomass_edge,BECCSLiquidFuels,capacity,0.0
Biomass_Herb,capacity,bioherb_SE,SE_BECCS_FT_Herb,SE_BECCS_FT_Herb_biomass_edge,BECCSLiquidFuels,capacity,3438.8966486993286
Biomass_Wood,capacity,biowood_SE,SE_BECCS_FT_Wood,SE_BECCS_FT_Wood_biomass_edge,BECCSLiquidFuels,capacity,6992.824656105562
Biomass_Herb,capacity,bioherb_SE,SE_Bio_NaturalGas_Herb,SE_Bio_NaturalGas_Herb_biomass_edge,BECCSNaturalGas,capacity,0.0
Biomass_Wood,capacity,biowood_SE,SE_Bio_NaturalGas_Wood,SE_Bio_NaturalGas_Wood_biomass_edge,BECCSNaturalGas,capacity,0.0
Biomass_Herb,capacity,bioherb_SE,SE_BECCS_NaturalGas_Herb,SE_BECCS_NaturalGas_Herb_biomass_edge,BECCSNaturalGas,capacity,0.0
Biomass_Wood,capacity,biowood_SE,SE_BECCS_NaturalGas_Wood,SE_BECCS_NaturalGas_Wood_biomass_edge,BECCSNaturalGas,capacity,0.0
Biomass_Corn,capacity,biocorn_SE,SE_DryMill_Existing_Non_CCS,SE_DryMill_Existing_Non_CCS_biomass_consumption_edge,BioEthanol,capacity,483.79893072897227
Biomass_Herb,capacity,bioherb_SE,SE_Biochemical_Non_CCS,SE_Biochemical_Non_CCS_biomass_consumption_edge,BioEthanol,capacity,0.0
Biomass_Herb,capacity,bioherb_SE,SE_Biochemical_CCS_20,SE_Biochemical_CCS_20_biomass_consumption_edge,BioEthanol,capacity,0.0
Biomass_Herb,capacity,bioherb_SE,SE_Biochemical_CCS_86,SE_Biochemical_CCS_86_biomass_consumption_edge,BioEthanol,capacity,0.0
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_1,SE_CO2_Injection_1_co2_captured_edge,CO2Injection,capacity,19634.7
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_2,SE_CO2_Injection_2_co2_captured_edge,CO2Injection,capacity,21367.2
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_3,SE_CO2_Injection_3_co2_captured_edge,CO2Injection,capacity,12704.8
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_4,SE_CO2_Injection_4_co2_captured_edge,CO2Injection,capacity,14437.3
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_5,SE_CO2_Injection_5_co2_captured_edge,CO2Injection,capacity,8662.4
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_6,SE_CO2_Injection_6_co2_captured_edge,CO2Injection,capacity,55439.2
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_7,SE_CO2_Injection_7_co2_captured_edge,CO2Injection,capacity,15014.8
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_8,SE_CO2_Injection_8_co2_captured_edge,CO2Injection,capacity,6929.9
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_9,SE_CO2_Injection_9_co2_captured_edge,CO2Injection,capacity,2887.5
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_10,SE_CO2_Injection_10_co2_captured_edge,CO2Injection,capacity,9239.9
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_11,SE_CO2_Injection_11_co2_captured_edge,CO2Injection,capacity,577.5
CO2,capacity,co2_sink,SE_Sorbent_DAC,SE_Sorbent_DAC_co2_edge,ElectricDAC,capacity,2378.62034153258
Electricity,capacity,elec_SE,battery_SE,battery_SE_discharge_edge,Battery,capacity,24235.53867196635
Electricity,capacity,elec_SE,pumpedhydro_SE,pumpedhydro_SE_discharge_edge,Battery,capacity,6261.984
Hydrogen,capacity,h2_SE,SE_Electrolyzer,SE_Electrolyzer_h2_edge,Electrolyzer,capacity,152043.6500495885
Ethanol,capacity,ethanol_SE,SE_Ethanol_Dehydration_NGfuel,SE_Ethanol_Dehydration_NGfuel_ethanol_consumption_edge,EthanolDehydration,capacity,0.0
Ethanol,capacity,ethanol_SE,SE_Ethanol_Dehydration_H2fuel,SE_Ethanol_Dehydration_H2fuel_ethanol_consumption_edge,EthanolDehydration,capacity,1577.1845141764495
Electricity,capacity,elec_SE,SE_CCGT-H2,SE_CCGT-H2_elec_edge,ThermalPower{Hydrogen},capacity,10312.527480420624
Electricity,capacity,elec_SE,SE_OCGT-H2,SE_OCGT-H2_elec_edge,ThermalPower{Hydrogen},capacity,0.0
Hydrogen,capacity,internal,SE_Above_ground_storage,SE_Above_ground_storage_charge_edge,GasStorage{Hydrogen},capacity,83475.49965520905
Hydrogen,capacity,internal,SE_Above_ground_storage,SE_Above_ground_storage_discharge_edge,GasStorage{Hydrogen},capacity,82399.37692854422
Electricity,capacity,elec_SE,SE_conventional_hydroelectric_1,SE_conventional_hydroelectric_1_discharge_edge,HydroRes,capacity,11123.215
Electricity,capacity,hydro_source,SE_conventional_hydroelectric_1,SE_conventional_hydroelectric_1_inflow_edge,HydroRes,capacity,11123.215
Electricity,capacity,elec_SE,SE_small_hydroelectric_1,SE_small_hydroelectric_1_elec_edge,MustRun,capacity,249.895
CO2,capacity,co2_sink,SE_Solvent_DAC,SE_Solvent_DAC_co2_edge,NaturalGasDAC,capacity,0.0
Hydrogen,capacity,h2_SE,SE_Large_SMR_Non_CCS,SE_Large_SMR_Non_CCS_h2_edge,ThermalHydrogen{NaturalGas},capacity,0.0
Hydrogen,capacity,h2_SE,SE_ATR_wCCS_94pct,SE_ATR_wCCS_94pct_h2_edge,ThermalHydrogenCCS{NaturalGas},capacity,62110.2840973737
Hydrogen,capacity,h2_SE,SE_Large_SMR_wCCS_96pct,SE_Large_SMR_wCCS_96pct_h2_edge,ThermalHydrogenCCS{NaturalGas},capacity,0.0
Electricity,capacity,elec_SE,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_1_elec_edge,ThermalPower{NaturalGas},capacity,0.0
Electricity,capacity,elec_SE,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_2_elec_edge,ThermalPower{NaturalGas},capacity,0.0
Electricity,capacity,elec_SE,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_3_elec_edge,ThermalPower{NaturalGas},capacity,5102.746291797992
Electricity,capacity,elec_SE,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combined_cycle_4_elec_edge,ThermalPower{NaturalGas},capacity,0.0
Electricity,capacity,elec_SE,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_1_elec_edge,ThermalPower{NaturalGas},capacity,0.0
Electricity,capacity,elec_SE,SE_natural_gas_fired_combustion_turbine_2,SE_natural_gas_fired_combustion_turbine_2_elec_edge,ThermalPower{NaturalGas},capacity,0.0
Electricity,capacity,elec_SE,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ccavgcf_moderate_0_elec_edge,ThermalPower{NaturalGas},capacity,0.0
Electricity,capacity,elec_SE,SE_naturalgas_ctavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0_elec_edge,ThermalPower{NaturalGas},capacity,0.0
Electricity,capacity,elec_SE,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccccsavgcf_conservative_0_elec_edge,ThermalPowerCCS{NaturalGas},capacity,0.0
Electricity,capacity,elec_SE,SE_nuclear_1,SE_nuclear_1_elec_edge,ThermalPower{Uranium},capacity,33632.288
Electricity,capacity,elec_SE,SE_nuclear_2,SE_nuclear_2_elec_edge,ThermalPower{Uranium},capacity,2228.0
Electricity,capacity,elec_SE,SE_nuclear_mid_0,SE_nuclear_mid_0_elec_edge,ThermalPower{Uranium},capacity,53155.24063526104
CO2Captured,capacity,co2_captured_SE,SE_Synthetic_FT,SE_Synthetic_FT_co2_captured_edge,SyntheticLiquidFuels,capacity,0.0
CO2Captured,capacity,co2_captured_SE,SE_Synthetic_NaturalGas,SE_Synthetic_NaturalGas_co2_captured_edge,SyntheticNaturalGas,capacity,20369.521465862937
Electricity,capacity,elec_SE,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_1_edge,VRE,capacity,238931.80135136936
Electricity,capacity,elec_SE,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_2_edge,VRE,capacity,0.0
Electricity,capacity,elec_SE,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_3_edge,VRE,capacity,78632.73586203471
Electricity,capacity,elec_SE,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_4_edge,VRE,capacity,0.0
Electricity,capacity,elec_SE,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_5_edge,VRE,capacity,0.0
Electricity,capacity,elec_SE,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_6_edge,VRE,capacity,0.0
Electricity,capacity,elec_SE,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_7_edge,VRE,capacity,0.0
Electricity,capacity,elec_SE,SE_utilitypv_class1_moderate_70_0_2_8,SE_utilitypv_class1_moderate_70_0_2_8_edge,VRE,capacity,0.0
Electricity,capacity,elec_SE,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_1_edge,VRE,capacity,0.0
Electricity,capacity,elec_SE,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_2_edge,VRE,capacity,0.0
Electricity,capacity,elec_SE,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_3_edge,VRE,capacity,105301.0
Electricity,capacity,elec_SE,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_4_edge,VRE,capacity,0.0
Electricity,capacity,elec_SE,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_5_edge,VRE,capacity,0.0
Electricity,capacity,elec_SE,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_6_edge,VRE,capacity,48358.20192686325
Electricity,capacity,elec_SE,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_7_edge,VRE,capacity,0.0
Electricity,capacity,elec_SE,SE_landbasedwind_class4_moderate_70_8,SE_landbasedwind_class4_moderate_70_8_edge,VRE,capacity,0.0
Electricity,capacity,elec_SE,existing_solar_SE,existing_solar_SE_edge,VRE,capacity,8502.2
Electricity,capacity,battery_SE_storage,battery_SE,battery_SE_storage,Battery,capacity,136733.4944114409
Electricity,capacity,pumpedhydro_SE_storage,pumpedhydro_SE,pumpedhydro_SE_storage,Battery,capacity,288787.09674827004
Biomass_Herb,capacity,bioherb_SE,SE_BECCS_Electricity_Herb,SE_BECCS_Electricity_Herb_biomass_edge,BECCSElectricity,new_capacity,0.0
Biomass_Wood,capacity,biowood_SE,SE_BECCS_Electricity_Wood,SE_BECCS_Electricity_Wood_biomass_edge,BECCSElectricity,new_capacity,0.0
Biomass_Herb,capacity,bioherb_SE,SE_Bio_Gasoline_Herb,SE_Bio_Gasoline_Herb_biomass_edge,BECCSGasoline,new_capacity,-1.77694623620001e-11
Biomass_Wood,capacity,biowood_SE,SE_Bio_Gasoline_Wood,SE_Bio_Gasoline_Wood_biomass_edge,BECCSGasoline,new_capacity,5408.019788338891
Biomass_Herb,capacity,bioherb_SE,SE_BECCS_H2_Herb,SE_BECCS_H2_Herb_biomass_edge,BECCSHydrogen,new_capacity,5409.0144624118
Biomass_Wood,capacity,biowood_SE,SE_BECCS_H2_Wood,SE_BECCS_H2_Wood_biomass_edge,BECCSHydrogen,new_capacity,-9.094947017729274e-12
Biomass_Herb,capacity,bioherb_SE,SE_Bio_FT_Herb,SE_Bio_FT_Herb_biomass_edge,BECCSLiquidFuels,new_capacity,0.0
Biomass_Wood,capacity,biowood_SE,SE_Bio_FT_Wood,SE_Bio_FT_Wood_biomass_edge,BECCSLiquidFuels,new_capacity,0.0
Biomass_Herb,capacity,bioherb_SE,SE_BECCS_FT_Herb,SE_BECCS_FT_Herb_biomass_edge,BECCSLiquidFuels,new_capacity,3438.8966486993286
Biomass_Wood,capacity,biowood_SE,SE_BECCS_FT_Wood,SE_BECCS_FT_Wood_biomass_edge,BECCSLiquidFuels,new_capacity,6992.824656105562
Biomass_Herb,capacity,bioherb_SE,SE_Bio_NaturalGas_Herb,SE_Bio_NaturalGas_Herb_biomass_edge,BECCSNaturalGas,new_capacity,0.0
Biomass_Wood,capacity,biowood_SE,SE_Bio_NaturalGas_Wood,SE_Bio_NaturalGas_Wood_biomass_edge,BECCSNaturalGas,new_capacity,0.0
Biomass_Herb,capacity,bioherb_SE,SE_BECCS_NaturalGas_Herb,SE_BECCS_NaturalGas_Herb_biomass_edge,BECCSNaturalGas,new_capacity,0.0
Biomass_Wood,capacity,biowood_SE,SE_BECCS_NaturalGas_Wood,SE_BECCS_NaturalGas_Wood_biomass_edge,BECCSNaturalGas,new_capacity,0.0
Biomass_Corn,capacity,biocorn_SE,SE_DryMill_Existing_Non_CCS,SE_DryMill_Existing_Non_CCS_biomass_consumption_edge,BioEthanol,new_capacity,483.79893072897227
Biomass_Herb,capacity,bioherb_SE,SE_Biochemical_Non_CCS,SE_Biochemical_Non_CCS_biomass_consumption_edge,BioEthanol,new_capacity,0.0
Biomass_Herb,capacity,bioherb_SE,SE_Biochemical_CCS_20,SE_Biochemical_CCS_20_biomass_consumption_edge,BioEthanol,new_capacity,0.0
Biomass_Herb,capacity,bioherb_SE,SE_Biochemical_CCS_86,SE_Biochemical_CCS_86_biomass_consumption_edge,BioEthanol,new_capacity,0.0
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_1,SE_CO2_Injection_1_co2_captured_edge,CO2Injection,new_capacity,0.0
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_2,SE_CO2_Injection_2_co2_captured_edge,CO2Injection,new_capacity,0.0
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_3,SE_CO2_Injection_3_co2_captured_edge,CO2Injection,new_capacity,0.0
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_4,SE_CO2_Injection_4_co2_captured_edge,CO2Injection,new_capacity,0.0
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_5,SE_CO2_Injection_5_co2_captured_edge,CO2Injection,new_capacity,0.0
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_6,SE_CO2_Injection_6_co2_captured_edge,CO2Injection,new_capacity,0.0
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_7,SE_CO2_Injection_7_co2_captured_edge,CO2Injection,new_capacity,0.0
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_8,SE_CO2_Injection_8_co2_captured_edge,CO2Injection,new_capacity,0.0
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_9,SE_CO2_Injection_9_co2_captured_edge,CO2Injection,new_capacity,0.0
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_10,SE_CO2_Injection_10_co2_captured_edge,CO2Injection,new_capacity,0.0
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_11,SE_CO2_Injection_11_co2_captured_edge,CO2Injection,new_capacity,0.0
CO2,capacity,co2_sink,SE_Sorbent_DAC,SE_Sorbent_DAC_co2_edge,ElectricDAC,new_capacity,2378.62034153258
Electricity,capacity,elec_SE,battery_SE,battery_SE_discharge_edge,Battery,new_capacity,24235.53867196635
Electricity,capacity,elec_SE,pumpedhydro_SE,pumpedhydro_SE_discharge_edge,Battery,new_capacity,0.0
Hydrogen,capacity,h2_SE,SE_Electrolyzer,SE_Electrolyzer_h2_edge,Electrolyzer,new_capacity,152043.6500495885
Ethanol,capacity,ethanol_SE,SE_Ethanol_Dehydration_NGfuel,SE_Ethanol_Dehydration_NGfuel_ethanol_consumption_edge,EthanolDehydration,new_capacity,0.0
Ethanol,capacity,ethanol_SE,SE_Ethanol_Dehydration_H2fuel,SE_Ethanol_Dehydration_H2fuel_ethanol_consumption_edge,EthanolDehydration,new_capacity,1577.1845141764495
Electricity,capacity,elec_SE,SE_CCGT-H2,SE_CCGT-H2_elec_edge,ThermalPower{Hydrogen},new_capacity,10312.527480420624
Electricity,capacity,elec_SE,SE_OCGT-H2,SE_OCGT-H2_elec_edge,ThermalPower{Hydrogen},new_capacity,0.0
Hydrogen,capacity,internal,SE_Above_ground_storage,SE_Above_ground_storage_charge_edge,GasStorage{Hydrogen},new_capacity,83475.49965520905
Hydrogen,capacity,internal,SE_Above_ground_storage,SE_Above_ground_storage_discharge_edge,GasStorage{Hydrogen},new_capacity,82399.37692854422
