commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight,zone,weighted_value_flow
Biomass_Wood,flow,biowood_MIDAT,MIDAT_BECCS_Electricity_Wood_transforms,MIDAT_BECCS_Electricity_Wood,MIDAT_BECCS_Electricity_Wood_biomass_edge,BECCSElectricity,flow,504,0.0,,MIDAT,-0.0
Biomass_Wood,flow,biowood_MIDAT,MIDAT_BECCS_FT_Wood_transforms,MIDAT_BECCS_FT_Wood,MIDAT_BECCS_FT_Wood_biomass_edge,BECCSLiquidFuels,flow,504,0.0,,MIDAT,-0.0
Biomass_Wood,flow,biowood_MIDAT,MIDAT_BECCS_H2_Wood_transforms,MIDAT_BECCS_H2_Wood,MIDAT_BECCS_H2_Wood_biomass_edge,BECCSHydrogen,flow,504,0.0,,MIDAT,-0.0
Biomass_Wood,flow,biowood_MIDAT,MIDAT_BECCS_NaturalGas_Wood_transforms,MIDAT_BECCS_NaturalGas_Wood,MIDAT_BECCS_NaturalGas_Wood_biomass_edge,BECCSNaturalGas,flow,504,0.0,,MIDAT,-0.0
Biomass_Wood,flow,biowood_MIDAT,MIDAT_Bio_FT_Wood_transforms,MIDAT_Bio_FT_Wood,MIDAT_Bio_FT_Wood_biomass_edge,BECCSLiquidFuels,flow,504,0.0,,MIDAT,-0.0
Biomass_Wood,flow,biowood_MIDAT,MIDAT_Bio_Gasoline_Wood_transforms,MIDAT_Bio_Gasoline_Wood,MIDAT_Bio_Gasoline_Wood_biomass_edge,BECCSGasoline,flow,504,53530783.199999996,,MIDAT,-53530783.199999996
Biomass_Wood,flow,biowood_MIDAT,MIDAT_Bio_NaturalGas_Wood_transforms,MIDAT_Bio_NaturalGas_Wood,MIDAT_Bio_NaturalGas_Wood_biomass_edge,BECCSNaturalGas,flow,504,0.0,,MIDAT,-0.0
Biomass_Wood,flow,biowood_NE,NE_BECCS_Electricity_Wood_transforms,NE_BECCS_Electricity_Wood,NE_BECCS_Electricity_Wood_biomass_edge,BECCSElectricity,flow,504,0.0,,NE,-0.0
Biomass_Wood,flow,biowood_NE,NE_BECCS_FT_Wood_transforms,NE_BECCS_FT_Wood,NE_BECCS_FT_Wood_biomass_edge,BECCSLiquidFuels,flow,504,0.0,,NE,-0.0
Biomass_Wood,flow,biowood_NE,NE_BECCS_H2_Wood_transforms,NE_BECCS_H2_Wood,NE_BECCS_H2_Wood_biomass_edge,BECCSHydrogen,flow,504,-5.243961553148169e-12,,NE,5.243961553148169e-12
Biomass_Wood,flow,biowood_NE,NE_BECCS_NaturalGas_Wood_transforms,NE_BECCS_NaturalGas_Wood,NE_BECCS_NaturalGas_Wood_biomass_edge,BECCSNaturalGas,flow,504,0.0,,NE,-0.0
Biomass_Wood,flow,biowood_NE,NE_Bio_FT_Wood_transforms,NE_Bio_FT_Wood,NE_Bio_FT_Wood_biomass_edge,BECCSLiquidFuels,flow,504,0.0,,NE,-0.0
Biomass_Wood,flow,biowood_NE,NE_Bio_Gasoline_Wood_transforms,NE_Bio_Gasoline_Wood,NE_Bio_Gasoline_Wood_biomass_edge,BECCSGasoline,flow,504,16694282.399999999,,NE,-16694282.399999999
Biomass_Wood,flow,biowood_NE,NE_Bio_NaturalGas_Wood_transforms,NE_Bio_NaturalGas_Wood,NE_Bio_NaturalGas_Wood_biomass_edge,BECCSNaturalGas,flow,504,0.0,,NE,-0.0
Biomass_Wood,flow,biowood_SE,SE_BECCS_Electricity_Wood_transforms,SE_BECCS_Electricity_Wood,SE_BECCS_Electricity_Wood_biomass_edge,BECCSElectricity,flow,504,0.0,,SE,-0.0
Biomass_Wood,flow,biowood_SE,SE_BECCS_FT_Wood_transforms,SE_BECCS_FT_Wood,SE_BECCS_FT_Wood_biomass_edge,BECCSLiquidFuels,flow,504,0.0,,SE,-0.0
Biomass_Wood,flow,biowood_SE,SE_BECCS_H2_Wood_transforms,SE_BECCS_H2_Wood,SE_BECCS_H2_Wood_biomass_edge,BECCSHydrogen,flow,504,0.0,,SE,-0.0
Biomass_Wood,flow,biowood_SE,SE_BECCS_NaturalGas_Wood_transforms,SE_BECCS_NaturalGas_Wood,SE_BECCS_NaturalGas_Wood_biomass_edge,BECCSNaturalGas,flow,504,0.0,,SE,-0.0
Biomass_Wood,flow,biowood_SE,SE_Bio_FT_Wood_transforms,SE_Bio_FT_Wood,SE_Bio_FT_Wood_biomass_edge,BECCSLiquidFuels,flow,504,0.0,,SE,-0.0
Biomass_Wood,flow,biowood_SE,SE_Bio_Gasoline_Wood_transforms,SE_Bio_Gasoline_Wood,SE_Bio_Gasoline_Wood_biomass_edge,BECCSGasoline,flow,504,97768257.6,,SE,-97768257.6
Biomass_Wood,flow,biowood_SE,SE_Bio_NaturalGas_Wood_transforms,SE_Bio_NaturalGas_Wood,SE_Bio_NaturalGas_Wood_biomass_edge,BECCSNaturalGas,flow,504,0.0,,SE,-0.0
